행정동,도로명주소,지번주소,위도,경도,데이터기준일자
목2동,서울특별시 양천구 목동중앙본로28길 25-10,서울특별시 양천구 목동 545-47,37.54334,126.8721912,2025-06-30
목2동,서울특별시 양천구 목동중앙본로28길 25,서울특별시 양천구 목동 546-24,37.5435305,126.8718863,2025-06-30
목2동,서울특별시 양천구 목동중앙본로29길 9-1,서울특별시 양천구 목동 547-17,37.5442396,126.8700316,2025-06-30
목2동,서울특별시 양천구 목동중앙본로27길 15,서울특별시 양천구 목동 554,37.5440408,126.8695313,2025-06-30
목2동,서울특별시 양천구 목동중앙본로27길 35,서울특별시 양천구 목동 553-28,37.5442965,126.8685254,2025-06-30
목2동,서울특별시 양천구 목동중앙북로8길 132,서울특별시 양천구 목동 553-15,37.5444498,126.8679037,2025-06-30
목2동,서울특별시 양천구목동중앙북로8길 130,서울특별시 양천구 목동 553-14,37.5444596,126.8678092,2025-06-30
목2동,서울특별시 양천구 목동중앙북로8길 122,서울특별시 양천구 목동 553,37.5444454,126.8674281,2025-06-30
목2동,서울특별시 양천구 목동중앙북로8길 120-15,서울특별시 양천구 목동 29-44,37.5438969,126.8672776,2025-06-30
목2동,서울특별시 양천구 목동중앙북로8길 129-48,서울특별시 양천구 목동 500-9,37.5465063,126.8688999,2025-06-30
목2동,서울특별시 양천구 목동중앙북로8길 129-42,서울특별시 양천구 목동 500-7,37.5461449,126.8687268,2025-06-30
목2동,서울특별시 양천구 목동중앙북로8길 129-26,서울특별시 양천구 목동 500-5,37.5456889,126.8685188,2025-06-30
목2동,서울특별시 양천구 목동중앙북로10길 40,서울특별시 양천구 목동 500-4,37.5458699,126.8690283,2025-06-30
목2동,서울특별시 양천구 목동중앙본로28길 35,서울특별시 양천구 목동 545-22,37.5433838,126.872363,2025-06-30
목2동,서울특별시 양천구 목동중앙본로28길 46,서울특별시 양천구 목동 557-14,37.5430578,126.8727944,2025-06-30
목2동,서울특별시 양천구 목동중앙북로14길 65,서울특별시 양천구 목동 544-12,37.5447073,126.8733335,2025-06-30
목2동,서울특별시 양천구 목동중앙북로14길 52,서울특별시 양천구 목동 545-35,37.5440276,126.8729665,2025-06-30
목2동,서울특별시 양천구 목동중앙본로28길 37-8,서울특별시 양천구 목동 545-29,37.5435906,126.8727927,2025-06-30
목2동,서울특별시 양천구 목동중앙본로28길 57,서울특별시 양천구 목동 544-17,37.54334,126.8721912,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16길 84,서울특별시 양천구 목동 557-43,37.5427502,126.8737254,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16길 92,서울특별시 양천구 목동 557-27,37.5427701,126.8732366,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16길 94,서울특별시 양천구 목동 557-26,37.5427614,126.8731196,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16길 101,서울특별시 양천구 목동 558-8,37.5425953,126.8726395,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16길 120,서울특별시 양천구 목동 555-20,37.5430436,126.8717728,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18길 27,서울특별시 양천구 목동 231-289,37.5414312,126.8706712,2025-06-30
목2동,서울특별시 양천구 목동중앙본로26길 14,서울특별시 양천구 목동 42-35,37.5427405,126.8708788,2025-06-30
목2동,서울특별시 양천구 목동중앙본로24길 25,서울특별시 양천구 목동 42-38,37.542333,126.8708645,2025-06-30
목2동,서울특별시 양천구 목동중앙본로24길 33-3,서울특별시 양천구 목동 42-55,37.5423569,126.8712924,2025-06-30
목2동,서울특별시 양천구 목동중앙본로26길 42,서울특별시 양천구 목동 41-50,37.5421243,126.8720457,2025-06-30
목2동,서울특별시 양천구 목동중앙북로14길 39,서울특별시 양천구 목동 535-27,37.5447073,126.8733335,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16길 45,서울특별시 양천구 목동 536-8,37.5441868,126.8741289,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16가길 19,서울특별시 양천구 목동 537-18,37.5443894,126.8747992,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 77,서울특별시 양천구 목동 539-9,37.5438147,126.8757186,2025-06-30
목2동,서울특별시 양천구 목동중앙북로16가길 47,서울특별시 양천구 목동 539-6,37.5436952,126.876128,2025-06-30
목2동,서울특별시 양천구 목동중앙북로 102-6,서울특별시 양천구 목동 526-4,37.5459074,126.8743766,2025-06-30
목2동,서울특별시 양천구 목동중앙북로18길 12-1,서울특별시 양천구 목동 525-4,37.5457729,126.8748243,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 64,서울특별시 양천구 목동 538-18,37.5458221,126.8778817,2025-06-30
목2동,서울특별시 양천구 목동중앙북로20길 26,서울특별시 양천구 목동 524-16,37.5451137,126.8755704,2025-06-30
목2동,서울특별시 양천구 목동중앙북로20길 17,서울특별시 양천구 목동 523-50,37.5454275,126.8759452,2025-06-30
목2동,서울특별시 양천구 목동중앙북로22길 14-6,서울특별시 양천구 목동 523-46,37.5457082,126.8767364,2025-06-30
목2동,서울특별시 양천구 목동중앙북로22길 11,서울특별시 양천구 목동 521-16,37.5458936,126.8768385,2025-06-30
목2동,서울특별시 양천구 목동중앙북로 112,서울특별시 양천구 목동 524-1,37.5461335,126.8755486,2025-06-30
목2동,서울특별시 양천구 목동중앙북로22길 11-14,서울특별시 양천구 목동 522-4,37.5457914,126.8774393,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 36,서울특별시 양천구 목동 522-22,37.5453801,126.8771362,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 22,서울특별시 양천구 목동 522-5,37.5461301,126.8791301,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 11-21,서울특별시 양천구 목동 520-7,37.5460812,126.8792656,2025-06-30
목2동,서울특별시 양천구 목동중앙로13길 45,서울특별시 양천구 목동 124-9,37.5459822,126.8810952,2025-06-30
목2동,서울특별시 양천구 목동중앙로13길 45-11,서울특별시 양천구 목동 124-12,37.5458313,126.880645,2025-06-30
목2동,서울특별시 양천구 목동중앙로13나길 20-5,서울특별시 양천구 목동 130-6,37.5455344,126.8800958,2025-06-30
목2동,서울특별시 양천구 목동중앙로13나길 20-23,서울특별시 양천구 목동 128-44,37.545057,126.8804158,2025-06-30
목2동,서울특별시 양천구 목동중앙로13나길 58,서울특별시 양천구 목동 131-66,37.544213,126.8803706,2025-06-30
목2동,서울특별시 양천구 목동중앙로13나길 73,서울특별시 양천구 목동 131-56,37.5440761,126.8797553,2025-06-30
목2동,서울특별시 양천구 목동중앙로13다길 34,서울특별시 양천구 목동 131-46,37.543839,126.8812679,2025-06-30
목2동,서울특별시 양천구 목동중앙로13다길 42-5,서울특별시 양천구 목동 131-133,37.5434393,126.8808531,2025-06-30
목2동,서울특별시 양천구 목동중앙로13다길 36-8,서울특별시 양천구 목동 131-47,37.5439226,126.88107,2025-06-30
목2동,서울특별시 양천구 목동중앙로13다길 26-9,서울특별시 양천구 목동 131-44,37.5441598,126.8810124,2025-06-30
목2동,서울특별시 양천구 목동중앙로13다길 26-8,서울특별시 양천구 목동 131-98,37.5443065,126.8812808,2025-06-30
목2동,서울특별시 양천구 목동중앙로 217,서울특별시 양천구 목동 136-2,37.544227,126.8831853,2025-06-30
목2동,서울특별시 양천구 목동중앙로13길 29,서울특별시 양천구 목동 128-16,37.5454616,126.881566,2025-06-30
목2동,서울특별시 양천구 목동중앙로13길 37,서울특별시 양천구 목동 124-18,37.5457425,126.8812666,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 1-31,서울특별시 양천구 목동 517-12,37.5458221,126.8778817,2025-06-30
목2동,서울특별시 양천구 목동중앙북로24길 1-16,서울특별시 양천구 목동 520-40,37.5461681,126.878919,2025-06-30
목2동,서울특별시 양천구 목동중앙북로 131,서울특별시 양천구 목동 516-6,37.5466232,126.8778526,2025-06-30
목2동,서울특별시 양천구 목동중앙북로22길 25,서울특별시 양천구 목동 522-9,37.5452743,126.876937,2025-06-30
목2동,서울특별시 양천구 목동중앙본로24길 40,서울특별시 양천구 목동 231-5,37.5423781,126.8706115,2025-06-30
목2동,서울특별시 양천구 목동중앙본로22길 51,서울특별시 양천구 목동 231-72,37.5416343,126.8719905,2025-06-30
목2동,서울특별시 양천구 목동중앙본로22길 63-1,서울특별시 양천구 목동 231-145,37.5413144,126.8726788,2025-06-30
목2동,서울특별시 양천구 목동중앙본로20길 65,서울특별시 양천구 목동 231-151,37.540909,126.872662,2025-06-30
목2동,서울특별시 양천구 목동중앙본로20길 62,서울특별시 양천구 목동 231-158,37.540834,126.8723589,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18길 51,서울특별시 양천구 목동 231-94,37.5416733,126.8703559,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18길 62,서울특별시 양천구 목동 231-168,37.5416733,126.8703559,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18길 82,서울특별시 양천구 목동 231-187,37.5416733,126.8703559,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 46-42,서울특별시 양천구 목동 231-196,37.5398288,126.8727753,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 46-20,서울특별시 양천구 목동 231-116,37.5403436,126.8716764,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 38-19,서울특별시 양천구 목동 231-117,37.5401806,126.8716261,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 38-39,서울특별시 양천구 목동 231-195,37.5396757,126.8726535,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 38-45,서울특별시 양천구 목동 231-193,37.5395333,126.8729593,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 28-41,서울특별시 양천구 목동 231-222,37.5392854,126.8726897,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 28-27,서울특별시 양천구 목동 231-251,37.5395798,126.8720996,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 28-19,서울특별시 양천구 목동 231-184,37.539778,126.8716064,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 32,서울특별시 양천구 목동 231-132,37.5401828,126.8707074,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 40,서울특별시 양천구 목동 231-121,37.540577,126.8707729,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 33,서울특별시 양천구 목동 437-27,37.5402935,126.8704842,2025-06-30
목2동,서울특별시 양천구 목동중앙본로20길 15,서울특별시 양천구 목동 231-24,37.5419811,126.8701511,2025-06-30
목2동,서울특별시 양천구 목동중앙본로19길 13,서울특별시 양천구 목동 315-13,37.5420606,126.8684767,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18길 19,서울특별시 양천구 목동 213-46,37.5416701,126.8702572,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18가길 4,서울특별시 양천구 목동 231-242,37.5413063,126.8699484,2025-06-30
목2동,서울특별시 양천구 목동중앙본로18가길 11,서울특별시 양천구 목동 232-33,37.5409875,126.8702589,2025-06-30
목2동,서울특별시 양천구 목동중앙본로 60-13,서울특별시 양천구 목동 231-61,37.5413364,126.8696608,2025-06-30
목2동,서울특별시 양천구 목동중앙본로 60-5,서울특별시 양천구 목동 233-3,37.5413073,126.869424,2025-06-30
목2동,서울특별시 양천구 목동중앙본로15길 9,서울특별시 양천구 목동 315-38,37.5413516,126.8684377,2025-06-30
목2동,서울특별시 양천구 목동중앙본로15길 16,서울특별시 양천구 목동 315-31,37.5415837,126.8681427,2025-06-30
목2동,서울특별시 양천구 목동중앙본로13길 12,서울특별시 양천구 목동 315-37,37.5412206,126.8683806,2025-06-30
목2동,서울특별시 양천구 목동중앙본로 56-12,서울특별시 양천구 목동 234-10,37.5406165,126.8692874,2025-06-30
목2동,서울특별시 양천구 목동중앙본로 50-9,서울특별시 양천구 목동 229-1,37.5404355,126.8694187,2025-06-30
목2동,서울특별시 양천구 목동중앙로 103-1,서울특별시 양천구 목동 222-26,37.5383428,126.8729056,2025-06-30
목2동,서울특별시 양천구 목동중앙본로2길 5,서울특별시 양천구 목동 750-6,37.5392123,126.8702362,2025-06-30
목2동,서울특별시 양천구 목동중앙본로11길 7,서울특별시 양천구 목동 315-60,37.540344,126.8682987,2025-06-30
목2동,서울특별시 양천구 목동중앙본로9길 3,서울특별시 양천구 목동 315-64,37.5401093,126.8685159,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8길 100,서울특별시 양천구 목동 639-5,37.5444643,126.866169,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8길 84,서울특별시 양천구 목동 640-2,37.5446352,126.8660101,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8길 80-8,서울특별시 양천구 목동 646-24,37.5459483,126.8651373,2025-06-30
목3동,서울특별시 양천구 목동중앙북로6길 44,서울특별시 양천구 목동 624-10,37.5473713,126.8648656,2025-06-30
목3동,서울특별시 양천구 목동중앙북로4길 30,서울특별시 양천구 목동 964,37.5474892,126.8642821,2025-06-30
목3동,서울특별시 양천구 목동중앙북로4길 36,서울특별시 양천구 목동 622-6,37.5467333,126.8639009,2025-06-30
목3동,서울특별시 양천구 목동중앙북로2길 28,서울특별시 양천구 목동 621-2,37.5473868,126.8635554,2025-06-30
목3동,서울특별시 양천구 목동중앙북로2길 9,서울특별시 양천구 목동 615-15,37.5481879,126.8641296,2025-06-30
목3동,서울특별시 양천구 목동중앙북로5길 14,서울특별시 양천구 목동 610-33,37.548981,126.8656959,2025-06-30
목3동,서울특별시 양천구 목동중앙북로7가길 46-1,서울특별시 양천구 목동 607-31,37.5497737,126.8654052,2025-06-30
목3동,서울특별시 양천구 목동중앙북로7가길 52-3,서울특별시 양천구 목동 607-41,37.5499607,126.8648163,2025-06-30
목3동,서울특별시 양천구 목동중앙북로1길 20,서울특별시 양천구 목동 612-4,37.5494973,126.8645321,2025-06-30
목3동,서울특별시 양천구 목동중앙북로1길 39,서울특별시 양천구 목동 606-7,37.5504151,126.8645434,2025-06-30
목3동,서울특별시 양천구 목동중앙북로7나길 54,서울특별시 양천구 목동 605-11,37.5503705,126.8651604,2025-06-30
목3동,서울특별시 양천구 목동중앙북로7나길 13,서울특별시 양천구 목동 609-5,37.54968,126.8660648,2025-06-30
목3동,서울특별시 양천구 목동중앙북로 33-7,서울특별시 양천구 목동 602-7,37.5483649,126.8675771,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8가길 23,서울특별시 양천구 목동 627-2,37.5466617,126.8659985,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8길 58,서울특별시 양천구 목동 646-10,37.5459483,126.8651373,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16마길 20,서울특별시 양천구 목동 642-8,37.5454965,126.864188,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16다길 14-7,서울특별시 양천구 목동 324-100,37.5435233,126.8650583,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 74,서울특별시 양천구 목동 318-94,37.5433699,126.8666935,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8길 84-19,서울특별시 양천구 목동 639-7,37.5459483,126.8651373,2025-06-30
목3동,서울특별시 양천구 목동중앙북로8길 84-45,서울특별시 양천구 목동 639-12,37.5459483,126.8651373,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16다길 12,서울특별시 양천구 목동 318-13,37.5435233,126.8650583,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16다길 5-18,서울특별시 양천구 목동 318-21,37.5435233,126.8650583,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 84,서울특별시 양천구 목동 318-47,37.543164,126.8659649,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 67-8,서울특별시 양천구 목동 318-100,37.5416651,126.8668859,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 58-20,서울특별시 양천구 목동 318-143,37.5416651,126.8668859,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 68-19,서울특별시 양천구 목동 318-282,37.5416651,126.8668859,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 58-6,서울특별시 양천구 목동 318-319,37.5416651,126.8668859,2025-06-30
목3동,서울특별시 양천구 목동중앙본로17길 37,서울특별시 양천구 목동 318-194,37.5418293,126.8676025,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 34,서울특별시 양천구 목동 318-208,37.5416651,126.8668859,2025-06-30
목3동,서울특별시 양천구 목동중앙본로7가길 16,서울특별시 양천구 목동 318-243,37.5408384,126.8678305,2025-06-30
목3동,서울특별시 양천구 목동중앙남로14길 28,서울특별시 양천구 목동 717-3,37.5405881,126.8663806,2025-06-30
목3동,서울특별시 양천구 목동중앙남로14가길 24,서울특별시 양천구 목동 318-111,37.5416912,126.8658224,2025-06-30
목3동,서울특별시 양천구 목동중앙남로14가길 40,서울특별시 양천구 목동 318-64,37.5416912,126.8658224,2025-06-30
목3동,서울특별시 양천구 목동중앙남로 97,서울특별시 양천구 목동 712-1,37.5377367,126.8672364,2025-06-30
목3동,서울특별시 양천구 등촌로 132,서울특별시 양천구 목동 713-1,37.5508707,126.8641665,2025-06-30
목3동,서울특별시 양천구 목동중앙남로13길 20,서울특별시 양천구 목동 713-19,37.5402926,126.8647287,2025-06-30
목3동,서울특별시 양천구 목동중앙남로14길 11,서울특별시 양천구 목동 716-14,37.5405881,126.8663806,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16가길 8,서울특별시 양천구 목동 324-133,37.5428718,126.8638374,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16가길 22-4,서울특별시 양천구 목동 324-178,37.5428718,126.8638374,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16라길 8,서울특별시 양천구 목동 324-48,37.5444817,126.8629815,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16라길 34,서울특별시 양천구 목동 644-15,37.5444817,126.8629815,2025-06-30
목3동,서울특별시 양천구 목동중앙남로16라길 42,서울특별시 양천구 목동 655-22,37.5444817,126.8629815,2025-06-30
목3동,서울특별시 양천구 등촌로 178,서울특별시 양천구 목동 655-24,37.5508707,126.8641665,2025-06-30
목3동,서울특별시 양천구 등촌로 188,서울특별시 양천구 목동 650-1,37.5508707,126.8641665,2025-06-30
목4동,서울특별시 양천구 목동중앙남로3가길 60,서울특별시 양천구 목동 725-1,37.538839,126.8644087,2025-06-30
목4동,서울특별시 양천구 목동중앙서로8길 48,서울특별시 양천구 목동 804-51,37.531418,126.8661279,2025-06-30
목4동,서울특별시 양천구 목동중앙서로8가길 5,서울특별시 양천구 목동 804-27,37.5311164,126.8650242,2025-06-30
목4동,서울특별시 양천구 목동중앙서로6길 25,서울특별시 양천구 목동 804-2,37.5313506,126.8653049,2025-06-30
목4동,서울특별시 양천구 목동중앙서로 5,서울특별시 양천구 목동 791-9,37.5327498,126.8668033,2025-06-30
목4동,서울특별시 양천구 목동중앙서로7길 49,서울특별시 양천구 목동 781-15,37.5329453,126.8655217,2025-06-30
목4동,서울특별시 양천구 목동중앙서로7다길 2,서울특별시 양천구 목동 781-23,37.5354364,126.864956,2025-06-30
목4동,서울특별시 양천구목동중앙서로7나길 12-16,서울특별시 양천구 목동 785-17,37.5347998,126.8646257,2025-06-30
목4동,서울특별시 양천구 목동중앙로3길 94,서울특별시 양천구 목동 741-6,37.5372984,126.8683299,2025-06-30
목4동,서울특별시 양천구 목동중앙본로7길 21,서울특별시 양천구 목동 741-13,37.5396767,126.8673123,2025-06-30
목4동,서울특별시 양천구 목동중앙본로3길 22-1,서울특별시 양천구 목동 745-2,37.5387013,126.8687473,2025-06-30
목4동,서울특별시 양천구 목동중앙본로3길 25,서울특별시 양천구 목동 746-6,37.5387013,126.8687473,2025-06-30
목4동,서울특별시 양천구 목동중앙본로5길 51,서울특별시 양천구 목동 745-12,37.5381275,126.8682375,2025-06-30
목4동,서울특별시 양천구 목동중앙본로5길 64,서울특별시 양천구 목동 761-5,37.5381275,126.8682375,2025-06-30
목4동,서울특별시 양천구 목동중앙로5길 47,서울특별시 양천구 목동 760-11,37.5375874,126.870715,2025-06-30
목4동,서울특별시 양천구 목동중앙로5길 26,서울특별시 양천구 목동 756-6,37.5375874,126.870715,2025-06-30
목4동,서울특별시 양천구 목동중앙로5가길 8,서울특별시 양천구 목동 753-11,37.537985,126.8709662,2025-06-30
목4동,서울특별시 양천구 목동중앙로5가길 31,서울특별시 양천구 목동 755-2,37.537985,126.8709662,2025-06-30
목4동,서울특별시 양천구 목동중앙본로1길 11,서울특별시 양천구 목동 755-1,37.5381209,126.8692323,2025-06-30
목4동,서울특별시 양천구 목동중앙본로1길 8-11,서울특별시 양천구 목동 746-27,37.5381209,126.8692323,2025-06-30
목4동,서울특별시 양천구 목동중앙본로5길 38,서울특별시 양천구 목동 744-12,37.5381275,126.8682375,2025-06-30
목4동,서울특별시 양천구 목동중앙남로10길 16-8,서울특별시 양천구 목동 738-15,37.5382763,126.8672859,2025-06-30
목4동,서울특별시 양천구 목동중앙남로4길 21,서울특별시 양천구 목동 737-9,37.5368104,126.8679209,2025-06-30
목4동,서울특별시 양천구 목동중앙로3길 41,서울특별시 양천구 목동 767-19,37.5372984,126.8683299,2025-06-30
목4동,서울특별시 양천구 목동중앙로3길 17,서울특별시 양천구 목동 764-1,37.5372984,126.8683299,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 11,서울특별시 양천구 목동 774-12,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙서로 39-16,서울특별시 양천구 목동 774-11,37.5325954,126.8679799,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 49-16,서울특별시 양천구 목동 779-18,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 48,서울특별시 양천구 목동 771-5,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 11-10,서울특별시 양천구 목동 770-32,37.5355828,126.86925,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 11-19,서울특별시 양천구 목동 772-15,37.5377367,126.8672364,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 11-32,서울특별시 양천구 목동 771-31,37.5377367,126.8672364,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 30-23,서울특별시 양천구 목동 771-29,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 30-21,서울특별시 양천구 목동 771-28,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 40,서울특별시 양천구 목동 771-14,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙서로9길 54,서울특별시 양천구 목동 775-8,37.5335934,126.866601,2025-06-30
목4동,서울특별시 양천구 목동중앙남로3길 27,서울특별시 양천구 목동 780-1,37.5357282,126.8655694,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 65-7,서울특별시 양천구 목동 779-17,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙서로11길 73,서울특별시 양천구 목동 779-38,37.5344037,126.8665285,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 21-18,서울특별시 양천구 목동 768-12,37.5377367,126.8672364,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 21-7,서울특별시 양천구 목동 769-13,37.5377367,126.8672364,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 20,서울특별시 양천구 목동 766-18,37.5377367,126.8672364,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 12,서울특별시 양천구 목동 764-5,37.5358607,126.8686997,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 7,서울특별시 양천구 목동 772-4,37.5351124,126.8690486,2025-06-30
목4동,서울특별시 양천구 목동중앙남로 12-18,서울특별시 양천구 목동 764-12,37.5377367,126.8672364,2025-06-30
목4동,서울특별시 양천구 목동중앙남로2길 15,서울특별시 양천구 목동 766-6,37.5362452,126.8687374,2025-06-30
신월1동,서울특별시 양천구 곰달래로2길 31,서울특별시 양천구 신월동 1032,37.5275372,126.8352086,2025-06-30
신월1동,서울특별시 양천구 곰달래로3길 35,서울특별시 양천구 신월동 135-26,37.5315735,126.8329702,2025-06-30
신월1동,서울특별시 양천구 곰달래로1길 58,서울특별시 양천구 신월동 140-19,37.5326011,126.8315489,2025-06-30
신월1동,서울특별시 양천구 곰달래로6길 30-1,서울특별시 양천구 신월동 218-21,37.5279721,126.8360278,2025-06-30
신월1동,서울특별시 양천구 곰달래로6길 38,서울특별시 양천구 신월동 218-46,37.5279721,126.8360278,2025-06-30
신월1동,서울특별시 양천구 남부순환로63길 20,서울특별시 양천구 신월동 221-14,37.5290538,126.8341738,2025-06-30
신월1동,서울특별시 양천구 곰달래로 12-1,서울특별시 양천구 신월동 225-2,37.5302798,126.8326926,2025-06-30
신월1동,서울특별시 양천구 곰달래로6길 5-9,서울특별시 양천구 신월동 226-12,37.5279721,126.8360278,2025-06-30
신월1동,서울특별시 양천구 곰달래로10길 9,서울특별시 양천구 신월동 229-3,37.527287,126.8385461,2025-06-30
신월1동,서울특별시 양천구 곰달래로6길 5-22,서울특별시 양천구 신월동 230-7,37.5279721,126.8360278,2025-06-30
신월1동,서울특별시 양천구 월정로15길 23-1,서울특별시 양천구 신월동 233-9,37.5277427,126.8382317,2025-06-30
신월1동,서울특별시 양천구 월정로17길 12,서울특별시 양천구 신월동 234-17,37.5280073,126.8374071,2025-06-30
